,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,200,3,0.0036919116973876953,0.5416666666666666,0,13,3,8
1,400,1,200,3,0.005650758743286133,0.5,1,11,7,5
2,400,1,200,3,0.006468057632446289,0.5416666666666666,4,9,2,9
3,400,1,200,3,0.004645824432373047,0.5416666666666666,0,13,8,3
4,400,1,200,3,0.011499881744384766,0.5833333333333334,5,9,4,6
5,400,1,200,3,0.004472970962524414,0.5416666666666666,3,10,6,5
6,400,1,200,3,0.004219532012939453,0.4166666666666667,1,9,3,11
7,400,1,200,3,0.004369497299194336,0.375,4,5,6,9
8,400,1,200,3,0.032689809799194336,0.7083333333333334,4,13,5,2
9,400,1,200,3,0.031209707260131836,0.5416666666666666,2,11,5,6
10,400,1,200,3,0.006104707717895508,0.4583333333333333,2,9,5,8
11,400,1,200,3,0.004882335662841797,0.4583333333333333,1,10,4,9
12,400,1,200,3,0.010116219520568848,0.5,2,10,2,10
13,400,1,200,3,0.006319761276245117,0.4583333333333333,1,10,3,10
14,400,1,200,3,0.007101535797119141,0.5833333333333334,0,14,5,5
15,400,1,200,3,0.010179519653320312,0.5,1,11,8,4
16,400,1,200,3,0.0043566226959228516,0.5833333333333334,2,12,7,3
17,400,1,200,3,0.0042667388916015625,0.625,4,11,5,4
18,400,1,200,3,0.00598454475402832,0.6666666666666666,0,16,8,0
19,400,1,200,3,2.1275616884231567,0.7083333333333334,1,16,5,2
