,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,300,3,0.011098623275756836,0.5416666666666666,0,13,9,2
1,400,1,300,3,0.02943277359008789,0.5416666666666666,0,13,5,6
2,400,1,300,3,0.005820274353027344,0.5,3,9,4,8
3,400,1,300,3,0.004487752914428711,0.5833333333333334,3,11,1,9
4,400,1,300,3,0.004496574401855469,0.4166666666666667,2,8,4,10
5,400,1,300,3,0.006480693817138672,0.5,3,9,8,4
6,400,1,300,3,0.028634190559387207,0.5416666666666666,3,10,5,6
7,400,1,300,3,0.004962444305419922,0.6666666666666666,2,14,5,3
8,400,1,300,3,0.006474494934082031,0.5833333333333334,2,12,7,3
9,400,1,300,3,0.012639760971069336,0.6666666666666666,3,13,5,3
10,400,1,300,3,0.005478858947753906,0.5,4,8,6,6
11,400,1,300,3,0.004437923431396484,0.4583333333333333,2,9,4,9
12,400,1,300,3,0.010360181331634521,0.3333333333333333,0,8,1,15
13,400,1,300,3,0.004212856292724609,0.625,3,12,5,4
14,400,1,300,3,0.005970478057861328,0.5416666666666666,3,10,3,8
