,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,21,100,3,39.6495241522789,0.7083333333333334,0,17,6,1
1,400,21,100,3,29.65854787826538,0.375,6,3,0,15
2,400,21,100,3,38.47450262308121,0.8333333333333334,0,20,4,0
3,400,21,100,3,33.786146730184555,0.625,0,15,9,0
4,400,21,100,3,35.12193617224693,0.625,0,15,9,0
5,400,21,100,3,30.653249502182007,0.6666666666666666,0,16,7,1
6,400,21,100,3,35.04151025414467,0.625,3,12,4,5
7,400,21,100,3,37.65714484453201,0.7083333333333334,0,17,7,0
8,400,21,100,3,30.84521397948265,0.75,0,18,6,0
9,400,21,100,3,27.998919248580933,0.5416666666666666,3,10,6,5
10,400,21,100,3,36.27387121319771,0.625,0,15,9,0
11,400,21,100,3,36.393179938197136,0.625,0,15,9,0
12,400,21,100,3,39.94446349143982,0.25,6,0,0,18
13,400,21,100,3,38.57161420583725,0.7083333333333334,0,17,7,0
14,400,21,100,3,30.138306967914104,0.5416666666666666,6,7,2,9
