,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,6,100,3,0.006794929504394531,0.5833333333333334,5,9,5,5
1,400,6,100,3,0.004318952560424805,0.4166666666666667,2,8,5,9
2,400,6,100,3,0.004367828369140625,0.5833333333333334,4,10,5,5
3,400,6,100,3,22.730767592787743,0.6666666666666666,2,14,6,2
4,400,6,100,3,0.014588117599487305,0.6666666666666666,1,15,5,3
5,400,6,100,3,0.007072925567626953,0.75,3,15,3,3
6,400,6,100,3,0.003947734832763672,0.375,1,8,6,9
7,400,6,100,3,0.004501819610595703,0.375,3,6,7,8
8,400,6,100,3,0.005173444747924805,0.625,3,12,4,5
9,400,6,100,3,0.006143093109130859,0.5833333333333334,3,11,7,3
10,400,6,100,3,0.0050258636474609375,0.5416666666666666,1,12,7,4
11,400,6,100,3,0.0056095123291015625,0.6666666666666666,2,14,3,5
12,400,6,100,3,0.005406856536865234,0.3333333333333333,2,6,5,11
13,400,6,100,3,0.013066768646240234,0.5416666666666666,2,11,4,7
14,400,6,100,3,0.01005697250366211,0.5416666666666666,2,11,5,6
