,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,10,100,3,35.93335925042629,0.75,2,16,4,2
1,400,10,100,3,23.06993117928505,0.5416666666666666,3,10,4,7
2,400,10,100,3,34.9122599363327,0.5833333333333334,0,14,10,0
3,400,10,100,3,37.78857263922691,0.75,0,18,6,0
4,400,10,100,3,0.004268169403076172,0.625,4,11,5,4
5,400,10,100,3,12.724215865135193,0.5833333333333334,7,7,1,9
6,400,10,100,3,19.126740217208862,0.7916666666666666,3,16,1,4
7,400,10,100,3,0.005434513092041016,0.8333333333333334,3,17,3,1
8,400,10,100,3,17.200472995638847,0.5833333333333334,2,12,8,2
9,400,10,100,3,30.18685644865036,0.7083333333333334,4,13,4,3
10,400,10,100,3,24.81674873828888,0.4166666666666667,5,5,2,12
11,400,10,100,3,0.0068585872650146484,0.6666666666666666,5,11,3,5
12,400,10,100,3,22.62584787607193,0.8333333333333334,2,18,2,2
13,400,10,100,3,32.78251761198044,0.5833333333333334,0,14,10,0
14,400,10,100,3,0.004171609878540039,0.4583333333333333,2,9,5,8
