,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,150,1,300,2,0.01842784881591797,0.4583333333333333,3,8,8,5
1,150,1,300,2,0.03986167907714844,0.5416666666666666,2,11,5,6
2,150,1,300,2,0.01704096794128418,0.625,4,11,2,7
3,150,1,300,2,0.01678943634033203,0.5,2,10,5,7
4,150,1,300,2,0.01983165740966797,0.375,2,7,5,10
5,150,1,300,2,0.06476819515228271,0.7083333333333334,4,13,4,3
6,150,1,300,2,0.03721296787261963,0.5,1,11,7,5
7,150,1,300,2,0.01797008514404297,0.5416666666666666,1,12,6,5
8,150,1,300,2,0.018340587615966797,0.4583333333333333,0,11,10,3
9,150,1,300,2,0.033952951431274414,0.7083333333333334,4,13,5,2
