,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,50,8,0.0028243064880371094,0.5,2,10,4,8
1,400,1,50,8,0.0032989978790283203,0.5833333333333334,1,13,7,3
2,400,1,50,8,0.003519773483276367,0.5833333333333334,3,11,5,5
3,400,1,50,8,0.002586841583251953,0.5,2,10,6,6
4,400,1,50,8,0.004262447357177734,0.4166666666666667,2,8,7,7
5,400,1,50,8,0.0035085678100585938,0.5416666666666666,2,11,7,4
6,400,1,50,8,0.008019089698791504,0.4583333333333333,2,9,5,8
7,400,1,50,8,0.003052949905395508,0.4166666666666667,0,10,9,5
8,400,1,50,8,0.0029680728912353516,0.625,3,12,3,6
9,400,1,50,8,0.004395484924316406,0.5,2,10,8,4
