,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,50,1,11.10882830619812,0.7083333333333334,0,17,5,2
1,400,1,50,1,11.151088237762451,0.625,2,13,4,5
2,400,1,50,1,4.002502024173737,0.5,3,9,6,6
3,400,1,50,1,0.013746261596679688,0.75,4,14,3,3
4,400,1,50,1,4.926400423049927,0.5,2,10,8,4
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
