,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,300,1,300,2,0.008587837219238281,0.4166666666666667,3,7,5,9
1,300,1,300,2,0.008425235748291016,0.6666666666666666,3,13,6,2
2,300,1,300,2,0.01762986183166504,0.5833333333333334,5,9,1,9
3,300,1,300,2,0.007391452789306641,0.5416666666666666,2,11,7,4
4,300,1,300,2,0.008283853530883789,0.5416666666666666,3,10,6,5
5,300,1,300,2,0.008363962173461914,0.5416666666666666,2,11,8,3
6,300,1,300,2,0.016026020050048828,0.5416666666666666,3,10,4,7
7,300,1,300,2,0.008650064468383789,0.625,2,13,3,6
8,300,1,300,2,0.00889277458190918,0.5416666666666666,3,10,4,7
9,300,1,300,2,0.008778572082519531,0.4166666666666667,1,9,11,3
