,0
0,42.949552953243256
1,37.43721163272858
2,37.53542077541351
3,37.16462954878807
4,36.20859748125076
5,37.01044809818268
6,35.82235035300255
7,36.70963001251221
8,40.38262581825256
9,35.726824179291725
10,36.74411416053772
11,36.0478944927454
12,35.34805127978325
13,36.21915915608406
14,35.29982304573059
15,36.00577048957348
16,38.29823723435402
17,38.34893149137497
18,37.11388450860977
19,36.23874628543854
20,36.20276215672493
21,36.41691029071808
22,35.20636239647865
23,34.62482914328575
24,36.10665512084961
25,35.22398003935814
26,37.40750503540039
27,34.41337576508522
28,37.432033732533455
29,35.992375284433365
30,35.807992815971375
31,35.497978925704956
32,34.835750713944435
33,35.98415634036064
34,36.589789658784866
35,36.004059344530106
36,36.48613142967224
37,35.37954491376877
38,34.69703537225723
39,34.35126996040344
40,33.6662857234478
41,33.68855191767216
42,36.38448724150658
43,36.501045018434525
44,35.33096170425415
45,37.41921916604042
46,36.92112135887146
47,35.92992290854454
48,36.70118921995163
49,37.33379152417183
50,38.14763434231281
51,35.746996968984604
52,35.72534988820553
53,35.729110807180405
54,36.535885125398636
55,35.65178033709526
56,36.65728971362114
57,35.47168865799904
58,36.257036462426186
59,36.79979631304741
60,36.24916446208954
61,36.34891739487648
62,36.406122758984566
63,35.1021286547184
64,34.15440282225609
65,35.410580933094025
66,36.831286281347275
67,37.300213634967804
68,37.16266913712025
69,36.708020359277725
70,36.56885349750519
71,33.393388137221336
72,35.41664405167103
73,36.28215539455414
74,35.20588171482086
75,35.87229683995247
76,35.88940578699112
77,36.28434784710407
78,35.88825172185898
79,35.970373064279556
80,35.75543673336506
81,34.58543698489666
82,36.56609895825386
83,35.945831552147865
84,36.47200898826122
85,37.58990314602852
86,35.774126678705215
87,36.26426328718662
88,36.6070222556591
89,37.13923600316048
90,36.513041108846664
91,36.11947375535965
92,33.48318846523762
93,38.7067249417305
94,36.938623040914536
95,36.8021535128355
96,36.82097627222538
97,34.53150115907192
98,35.98988841474056
99,36.085342451930046
100,35.481603145599365
101,36.37424924969673
102,35.689631804823875
103,35.60288567841053
104,34.41189327836037
105,38.98173162341118
106,36.2508761882782
107,36.69970089197159
108,36.806187838315964
109,35.815861254930496
110,36.1768483966589
111,34.96064192056656
112,34.36594168841839
113,38.38264790177345
114,37.62058970332146
115,36.6176423728466
116,35.78507524728775
117,36.84288704395294
118,37.59685239195824
119,36.81126394867897
120,36.462337508797646
121,35.72918491065502
122,37.57310500741005
123,37.07509262859821
124,36.298997074365616
125,37.70111373066902
126,36.58254814147949
127,37.076018303632736
128,35.13895457983017
129,35.8217656314373
130,36.22252236306667
131,34.71593254804611
132,36.71714162826538
133,36.75383895635605
134,36.50375324487686
135,36.57878315448761
136,37.47376334667206
137,37.03563714027405
138,36.437364250421524
139,36.61751285195351
140,37.102139592170715
141,35.229433089494705
142,36.41711899638176
143,36.121521919965744
144,36.86884272098541
145,36.866799771785736
146,37.286662846803665
147,37.483241856098175
148,35.81268101930618
149,38.140299677848816
150,36.05571946501732
151,36.64762958884239
152,36.60929533839226
153,36.68458616733551
154,36.90997964143753
155,36.51753357052803
156,37.27875280380249
157,37.320799708366394
158,37.0218061208725
159,35.7114023566246
160,34.09870609641075
161,36.709117859601974
162,36.09746876358986
163,37.30614450573921
164,37.75564932823181
165,37.542904645204544
166,36.69919699430466
167,36.81860038638115
168,35.09933015704155
169,37.15552496910095
170,36.892251431941986
171,36.32480415701866
172,37.149957686662674
173,35.04830251634121
174,35.13588626682758
175,34.2965799421072
176,29.861538782715797
177,34.69727110862732
178,37.50004842877388
179,37.2634442448616
180,33.97202703356743
181,38.052605360746384
182,36.976159512996674
183,35.86091071367264
184,37.10109156370163
185,37.52104437351227
186,36.64738643169403
187,37.590342819690704
188,34.30866727232933
189,37.064851731061935
190,35.72737219929695
191,36.72704264521599
192,38.05720096826553
193,34.934913113713264
194,38.109070748090744
195,37.09858317673206
196,36.25313198566437
197,37.601731806993484
198,34.23034021258354
199,38.12942385673523
200,36.99796763062477
201,34.16958078742027
202,37.9983868598938
203,36.43829628825188
204,36.9941725730896
205,36.2507426738739
206,38.015171200037
207,36.056041926145554
208,38.09511625766754
209,34.99357798695564
210,37.45046103000641
211,37.10694608092308
212,37.65879249572754
213,36.71397516131401
214,36.04247283935547
215,36.7212590277195
216,35.22435864806175
217,37.223556354641914
218,36.92850139737129
219,37.33146679401398
220,37.62424913048744
221,37.43077203631401
222,36.038707837462425
223,38.18748393654823
224,36.482945427298546
225,36.955485075712204
226,36.157241731882095
227,36.02677854895592
228,34.285076946020126
229,35.86492231488228
230,37.176138922572136
231,36.0627386122942
232,38.42699368298054
233,36.11701150238514
234,35.83879788219929
235,36.520037457346916
236,36.21611404418945
237,37.22015558183193
238,35.20117108523846
239,36.72396932542324
240,36.22363057732582
241,36.06346361339092
242,36.3088673055172
243,36.24591884016991
244,36.32472559809685
245,37.946452021598816
246,37.27099157869816
247,37.39262095093727
248,37.36982101202011
249,32.13020996749401
250,37.371259316802025
251,35.36426754295826
252,36.90463246405125
253,36.65826816856861
254,38.323056131601334
255,36.25663249194622
256,37.14509895443916
257,36.5709522664547
258,37.59079244732857
259,35.9162427932024
260,35.55282251536846
261,36.10556682944298
262,36.71012410521507
263,36.93062898516655
264,37.415366142988205
265,35.22175753116608
266,36.8538823723793
267,36.237671583890915
268,37.26265197992325
269,35.903603211045265
270,36.96382139623165
271,37.2049328237772
272,35.98746068775654
273,36.10529378056526
274,36.82259948551655
275,36.893524914979935
276,37.54642145335674
277,35.73988512158394
278,36.1273709833622
279,37.25650843977928
280,35.12765461206436
281,37.53730809688568
282,34.94364219903946
283,36.52390846610069
284,35.11861324310303
285,37.105959951877594
286,36.40293416380882
287,37.384502083063126
288,36.89373221993446
289,36.251658856868744
290,37.18876424431801
291,35.83738622069359
292,36.48375269770622
293,37.10747131705284
294,36.11121183633804
295,35.78137281537056
296,35.76014909148216
297,36.4722281396389
298,36.28867727518082
299,36.0794375538826
300,36.33175832033157
301,35.833401054143906
302,36.203048288822174
303,35.628300458192825
304,35.96248787641525
305,36.14732414484024
306,34.79491214454174
307,36.00937734544277
308,36.56614679098129
309,35.715317100286484
310,36.800715774297714
311,33.90454329550266
312,36.65362332761288
313,37.65723565220833
314,37.66485047340393
315,36.1929349899292
316,36.02641832828522
317,36.98895317316055
318,36.80777084827423
319,36.75945246219635
320,37.27415335178375
321,36.94519966840744
322,36.56013947725296
323,36.204438865184784
324,35.660109251737595
325,36.3088418841362
326,36.061086893081665
327,36.07001322507858
328,36.44366157054901
329,36.70334842801094
330,37.88171821832657
331,36.70277760922909
332,36.640671879053116
333,36.601759254932404
334,37.277444407343864
335,36.053345650434494
336,36.43067146837711
337,34.40231755375862
338,36.684749603271484
339,36.35451392829418
340,36.90945044159889
341,37.38747088611126
342,37.21661818027496
343,36.81043994426727
344,35.861404433846474
345,37.03275515139103
346,33.307445988059044
347,35.758102014660835
348,36.421708434820175
349,36.58460783958435
350,35.90167051553726
351,34.5512672662735
352,37.07630318403244
353,36.91962672770023
354,35.907215759158134
355,35.9731238335371
356,36.45837023854256
357,36.039805099368095
358,36.721881344914436
359,37.13634215295315
360,35.36165289580822
361,36.56023547053337
362,35.964702129364014
363,35.885008454322815
364,35.74703365564346
365,35.995221212506294
366,34.12510995566845
367,37.17481741309166
368,36.85403819382191
369,36.053335547447205
370,36.18328660726547
371,36.66927517950535
372,35.78786824643612
373,35.41895920038223
374,37.13468997180462
375,35.879210248589516
376,35.89030046761036
377,35.5309382379055
378,35.665196761488914
379,35.34629213809967
380,33.52578918635845
381,36.85014829039574
382,34.09998820722103
383,36.454029962420464
384,36.14449717104435
385,36.278963059186935
386,36.21905559301376
387,36.468045100569725
388,37.5883579403162
389,35.826357930898666
390,37.78615412116051
391,36.61554153263569
392,37.729443818330765
393,35.75797492265701
394,36.87464390695095
395,35.923393189907074
396,35.431942120194435
397,37.632564306259155
398,35.6864692568779
399,36.28503403067589
