,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,1,1,300,2,43.392833560705185,0.625,1,14,8,1
1,1,1,300,2,37.197419196367264,0.5,0,12,12,0
2,1,1,300,2,36.54728439450264,0.6666666666666666,0,16,8,0
3,1,1,300,2,38.48007878661156,0.7083333333333334,0,17,6,1
4,1,1,300,2,42.90322080254555,0.625,0,15,8,1
5,1,1,300,2,32.957719564437866,0.5,1,11,12,0
6,1,1,300,2,36.27579006552696,0.6666666666666666,0,16,8,0
7,1,1,300,2,38.789786636829376,0.75,0,18,5,1
8,1,1,300,2,39.66835743188858,0.7083333333333334,0,17,7,0
9,1,1,300,2,41.14318636059761,0.7916666666666666,0,19,4,1
