,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,3,100,3,0.004305601119995117,0.4583333333333333,2,9,6,7
1,400,3,100,3,0.0044972896575927734,0.4166666666666667,3,7,4,10
2,400,3,100,3,0.004487276077270508,0.4166666666666667,0,10,10,4
3,400,3,100,3,0.0039520263671875,0.5,4,8,5,7
4,400,3,100,3,0.004456043243408203,0.5833333333333334,2,12,4,6
5,400,3,100,3,0.006087779998779297,0.5,1,11,5,7
6,400,3,100,3,0.0059413909912109375,0.6666666666666666,3,13,4,4
7,400,3,100,3,0.006577491760253906,0.5833333333333334,4,10,5,5
8,400,3,100,3,0.005113124847412109,0.4166666666666667,2,8,4,10
9,400,3,100,3,0.004463672637939453,0.5833333333333334,1,13,8,2
10,400,3,100,3,0.004649162292480469,0.7083333333333334,3,14,5,2
11,400,3,100,3,0.005789756774902344,0.5416666666666666,4,9,5,6
12,400,3,100,3,0.004779815673828125,0.7083333333333334,3,14,1,6
13,400,3,100,3,0.0101165771484375,0.5,2,10,5,7
14,400,3,100,3,0.004834175109863281,0.5833333333333334,4,10,4,6
