,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,18,100,3,39.063472121953964,0.8333333333333334,0,20,4,0
1,400,18,100,3,39.71741598844528,0.7083333333333334,0,17,7,0
2,400,18,100,3,33.62681823968887,0.3333333333333333,1,7,8,8
3,400,18,100,3,34.58845096826553,0.75,0,18,6,0
4,400,18,100,3,36.28754857182503,0.5833333333333334,2,12,2,8
5,400,18,100,3,31.629545629024506,0.5833333333333334,7,7,0,10
6,400,18,100,3,38.83525309711695,0.6666666666666666,0,16,8,0
7,400,18,100,3,29.003921806812286,0.7083333333333334,4,13,5,2
8,400,18,100,3,31.170910388231277,0.5833333333333334,1,13,7,3
9,400,18,100,3,34.77219840884209,0.5833333333333334,0,14,10,0
10,400,18,100,3,31.641796469688416,0.5,3,9,1,11
11,400,18,100,3,34.987927079200745,0.6666666666666666,0,16,8,0
12,400,18,100,3,38.59237739443779,0.75,0,18,6,0
13,400,18,100,3,35.336195945739746,0.4166666666666667,2,8,1,13
14,400,18,100,3,36.291362941265106,0.75,0,18,6,0
