,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,20,100,3,29.416379868984222,0.625,0,15,9,0
1,400,20,100,3,27.123528331518173,0.625,5,10,4,5
2,400,20,100,3,34.25801557302475,0.5833333333333334,0,14,10,0
3,400,20,100,3,26.408809900283813,0.7916666666666666,4,15,3,2
4,400,20,100,3,33.614383816719055,0.5833333333333334,0,14,10,0
5,400,20,100,3,28.233604669570923,0.5416666666666666,0,13,11,0
6,400,20,100,3,24.142186984419823,0.5833333333333334,0,14,7,3
7,400,20,100,3,27.65556326508522,0.5416666666666666,1,12,7,4
8,400,20,100,3,39.884918838739395,0.75,0,18,6,0
9,400,20,100,3,32.3833729326725,0.5416666666666666,0,13,11,0
10,400,20,100,3,38.87565901875496,0.75,0,18,6,0
11,400,20,100,3,38.25963333249092,0.7916666666666666,0,19,5,0
12,400,20,100,3,26.748877704143524,0.375,6,3,0,15
13,400,20,100,3,36.783312261104584,0.7083333333333334,0,17,7,0
14,400,20,100,3,29.130035996437073,0.4583333333333333,2,9,5,8
