,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,19,100,3,36.16487866640091,0.7083333333333334,2,15,4,3
1,400,19,100,3,37.029071271419525,0.7083333333333334,0,17,7,0
2,400,19,100,3,31.473125010728836,0.7083333333333334,0,17,4,3
3,400,19,100,3,24.32772970199585,0.4583333333333333,4,7,8,5
4,400,19,100,3,31.62376756966114,0.5833333333333334,0,14,10,0
5,400,19,100,3,29.95166313648224,0.5416666666666666,1,12,4,7
6,400,19,100,3,26.438050650060177,0.5833333333333334,5,9,5,5
7,400,19,100,3,39.058109641075134,0.7083333333333334,0,17,7,0
8,400,19,100,3,27.332959800958633,0.4166666666666667,1,9,7,7
9,400,19,100,3,24.05889517068863,0.5,3,9,6,6
10,400,19,100,3,31.795102894306183,0.625,3,12,2,7
11,400,19,100,3,30.271717250347137,0.5,5,7,3,9
12,400,19,100,3,37.41206210851669,0.75,0,18,6,0
13,400,19,100,3,26.45858632028103,0.375,0,9,12,3
14,400,19,100,3,32.630618900060654,0.5,4,8,3,9
