,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,2,100,3,0.003994941711425781,0.4583333333333333,1,10,3,10
1,400,2,100,3,0.005903720855712891,0.375,2,7,5,10
2,400,2,100,3,0.006178855895996094,0.7083333333333334,2,15,5,2
3,400,2,100,3,0.0036499500274658203,0.5,0,12,10,2
4,400,2,100,3,0.005843162536621094,0.5,2,10,3,9
5,400,2,100,3,0.005345344543457031,0.5833333333333334,4,10,6,4
6,400,2,100,3,2.1900937259197235,0.5,3,9,0,12
7,400,2,100,3,0.004230976104736328,0.5,4,8,5,7
8,400,2,100,3,0.004597663879394531,0.625,3,12,4,5
9,400,2,100,3,2.212744116783142,0.625,5,10,1,8
10,400,2,100,3,0.006060123443603516,0.6666666666666666,0,16,4,4
11,400,2,100,3,0.010315895080566406,0.5416666666666666,1,12,4,7
12,400,2,100,3,0.007838964462280273,0.625,2,13,5,4
13,400,2,100,3,0.004177570343017578,0.4166666666666667,2,8,4,10
14,400,2,100,3,0.005084037780761719,0.625,2,13,8,1
