,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,4,100,3,0.006129264831542969,0.4166666666666667,1,9,5,9
1,400,4,100,3,0.03863120079040527,0.375,0,9,6,9
2,400,4,100,3,0.003959178924560547,0.5833333333333334,2,12,5,5
3,400,4,100,3,0.01335597038269043,0.5,6,6,3,9
4,400,4,100,3,0.0051991939544677734,0.375,1,8,6,9
5,400,4,100,3,0.010626554489135742,0.4583333333333333,2,9,5,8
6,400,4,100,3,0.0036025047302246094,0.5416666666666666,1,12,5,6
7,400,4,100,3,0.01186060905456543,0.6666666666666666,1,15,6,2
8,400,4,100,3,0.0055348873138427734,0.7083333333333334,3,14,4,3
9,400,4,100,3,0.0040454864501953125,0.5833333333333334,5,9,6,4
10,400,4,100,3,0.007366180419921875,0.625,0,15,8,1
11,400,4,100,3,0.004657268524169922,0.5,2,10,7,5
12,400,4,100,3,0.0054531097412109375,0.375,3,6,6,9
13,400,4,100,3,0.004216670989990234,0.5,6,6,4,8
14,400,4,100,3,0.008755683898925781,0.4166666666666667,2,8,6,8
