,embeddingSize,n_estimators,accuracy,truePos,trueNeg,falsePos,falseNeg
0,300,10,0.7916666666666666,4,15,3,2
1,300,10,0.6666666666666666,2,14,5,3
2,300,10,0.7083333333333334,3,14,3,4
3,300,10,0.625,2,13,4,5
4,300,10,0.875,5,16,0,3
5,300,10,0.6666666666666666,3,13,7,1
6,300,10,0.625,3,12,3,6
7,300,10,0.7916666666666666,4,15,5,0
8,300,10,0.7916666666666666,4,15,3,2
9,300,10,0.625,1,14,4,5
10,300,10,0.75,4,14,4,2
11,300,10,0.5,3,9,7,5
12,300,10,0.6666666666666666,3,13,2,6
13,300,10,0.5,3,9,5,7
14,300,10,0.6666666666666666,2,14,5,3
