,embeddingSize,n_estimators,accuracy,truePos,trueNeg,falsePos,falseNeg
0,100,10,0.5833333333333334,3,11,2,8
1,100,10,0.6666666666666666,4,12,5,3
2,100,10,0.625,4,11,2,7
3,100,10,0.75,4,14,4,2
4,100,10,0.6666666666666666,6,10,2,6
5,100,10,0.875,6,15,1,2
6,100,10,0.7083333333333334,4,13,3,4
7,100,10,0.75,6,12,1,5
8,100,10,0.7916666666666666,6,13,2,3
9,100,10,0.5416666666666666,1,12,6,5
10,100,10,0.75,5,13,3,3
11,100,10,0.5416666666666666,0,13,9,2
12,100,10,0.6666666666666666,3,13,5,3
13,100,10,0.7916666666666666,5,14,3,2
14,100,10,0.6666666666666666,1,15,5,3
