,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,50,1,4.851829886436462,0.5416666666666666,1,12,6,5
1,400,1,50,1,0.013326644897460938,0.5,2,10,5,7
2,400,1,50,1,4.768331289291382,0.6666666666666666,1,15,5,3
3,400,1,50,1,0.013217449188232422,0.4583333333333333,1,10,4,9
4,400,1,50,1,0.014671564102172852,0.5,0,12,5,7
5,400,1,50,1,4.067123532295227,0.5416666666666666,2,11,6,5
6,400,1,50,1,0.013392448425292969,0.4166666666666667,2,8,2,12
7,400,1,50,1,0.029632568359375,0.5416666666666666,2,11,6,5
8,400,1,50,1,5.6018226146698,0.625,1,14,8,1
9,400,1,50,1,0.01689291000366211,0.5833333333333334,3,11,4,6
10,400,1,50,1,16.318361900746822,0.5833333333333334,1,13,7,3
11,400,1,50,1,0.01927971839904785,0.5,2,10,3,9
12,400,1,50,1,3.9920217394828796,0.5,1,11,7,5
13,400,1,50,1,7.044674515724182,0.5416666666666666,2,11,3,8
14,400,1,50,1,0.012813568115234375,0.4166666666666667,2,8,8,6
15,400,1,50,1,10.974096059799194,0.3333333333333333,2,6,1,15
16,400,1,50,1,17.988600850105286,0.7083333333333334,0,17,5,2
17,400,1,50,1,4.877079129219055,0.5833333333333334,4,10,4,6
18,400,1,50,1,4.169291377067566,0.625,2,13,4,5
19,400,1,50,1,8.63078784942627,0.5833333333333334,4,10,5,5
20,400,1,50,1,0.021449565887451172,0.5416666666666666,1,12,7,4
21,400,1,50,1,0.1116187572479248,0.5833333333333334,5,9,3,7
22,400,1,50,1,11.33519184589386,0.625,0,15,8,1
23,400,1,50,1,4.060704469680786,0.5416666666666666,3,10,5,6
24,400,1,50,1,0.01595902442932129,0.4166666666666667,1,9,7,7
25,400,1,50,1,4.807143181562424,0.6666666666666666,2,14,3,5
26,400,1,50,1,0.01690363883972168,0.5416666666666666,1,12,5,6
27,400,1,50,1,0.01270747184753418,0.4583333333333333,2,9,8,5
28,400,1,50,1,0.014841079711914062,0.5416666666666666,4,9,4,7
29,400,1,50,1,0.014321327209472656,0.5833333333333334,6,8,2,8
